[2022-04-29 13:03:59.323061] Device :fan, Action :on
[2022-04-29 13:04:25.376920] Device :ac, Action :on
[2022-04-29 13:04:32.616579] Device :ac, Action :off
[2022-04-29 13:26:27.630891] Device :fan, Action :on
[2022-04-29 13:26:31.656371] Device :bulb, Action :on
[2022-04-29 13:26:37.087121] Device :ac, Action :on
[2022-04-29 13:26:44.858290] Device :ac, Action :off
[2022-04-29 13:27:22.901014] Device :fan, Action :off
[2022-04-30 12:30:06.088240] Device :fan, Action :on
[2022-05-05 13:33:03.766581] Device :fan, Action :on
[2022-05-05 13:34:17.774617] Device :bulb, Action :on
[2022-05-05 13:34:38.674695] Device :ac, Action :on
[2022-05-05 13:35:36.933000] Device :bulb, Action :off
[2022-05-05 13:41:31.544935] Device :fan, Action :on
[2022-05-05 13:41:35.123541] Device :bulb, Action :on
[2022-05-05 13:41:36.934464] Device :ac, Action :on
[2022-05-05 13:41:41.581784] Device :bulb, Action :off
[2022-05-07 01:02:31.042888] Device :bulb, Action :on
[2022-05-07 01:02:38.490582] Device :fan, Action :on
[2022-05-07 01:02:42.856618] Device :ac, Action :on
[2022-05-07 01:02:51.790633] Device :ac, Action :off
[2022-05-07 01:02:57.138644] Device :bulb, Action :off
[2022-05-07 01:03:00.372369] Device :fan, Action :off
[2022-05-07 01:05:11.886521] Device :fan, Action :on
[2022-05-07 01:05:15.866717] Device :ac, Action :on
[2022-05-07 01:05:21.348490] Device :bulb, Action :on
[2022-05-07 01:05:25.871472] Device :ac, Action :off
[2022-05-07 01:05:30.314010] Device :fan, Action :off
[2022-05-07 11:08:21.694047] Device :fan, Action :on
[2022-05-07 11:08:33.551945] Device :bulb, Action :on
[2022-05-07 11:08:47.276860] Device :ac, Action :on
[2022-05-07 11:09:00.164772] Device :fan, Action :off
[2022-05-07 15:34:09.201728] Device :fan, Action :on
[2022-05-07 15:34:27.520715] Device :ac, Action :on
